"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.412385120E-1,-5.018632412E-1,-1.011879444E-1,-2.953624725E-1,5.910538919E-1
3.462161160E-1,-4.969594777E-1,-7.148718834E-2,-4.386019707E-1,6.666714552E-1
3.511937210E-1,-5.076605082E-1,9.200334549E-3,-5.676817894E-1,7.616209370E-1
3.561713770E-1,-4.913355112E-1,9.080386162E-2,-7.159881592E-1,8.730950521E-1
3.611489810E-1,-3.895155787E-1,2.017264366E-1,-9.116239548E-1,1.011669005E0
3.661265850E-1,-2.908041477E-1,3.021750450E-1,-1.085861206E0,1.164032375E0
3.711041890E-1,-1.736567169E-1,4.187557697E-1,-1.161447048E0,1.246784783E0
3.760817930E-1,-4.716360196E-2,5.233278275E-1,-1.206123829E0,1.315610547E0
3.810593980E-1,2.568545938E-2,6.233925819E-1,-1.128406048E0,1.289410044E0
3.860370020E-1,4.177748412E-2,7.168955803E-1,-1.034002781E0,1.258906820E0
3.910146060E-1,4.460370541E-2,7.968819141E-1,-9.750580788E-1,1.260058940E0
3.959922620E-1,4.848349839E-2,7.550106049E-1,-9.959511757E-1,1.250723953E0
4.009698660E-1,2.487830818E-2,7.678389549E-1,-9.774923325E-1,1.243256551E0
4.059474710E-1,4.678502679E-3,7.870793343E-1,-8.964481354E-1,1.192952231E0
4.109250750E-1,3.290362656E-2,8.217785358E-1,-8.196468353E-1,1.161130288E0
4.159026790E-1,7.577045262E-2,8.006303310E-1,-7.114505768E-1,1.073737403E0
4.208802830E-1,7.652255893E-2,8.982691765E-1,-5.434041023E-1,1.052630626E0
4.258578870E-1,9.721814096E-2,1.022642374E0,-3.584790230E-1,1.088005516E0
4.308355430E-1,1.874443889E-1,1.106201649E0,-1.989483833E-1,1.139472661E0
4.358131480E-1,2.679861784E-1,1.186296463E0,-7.108354568E-2,1.218264651E0
4.407907520E-1,3.215966225E-1,1.245729446E0,1.640272141E-2,1.286676063E0
4.457683560E-1,2.751183510E-1,1.348275661E0,6.656074524E-2,1.377667485E0
4.507459600E-1,1.671621203E-1,1.417708397E0,2.071142197E-2,1.427679669E0
4.557235640E-1,8.762505651E-2,1.480884314E0,-1.982626915E-1,1.496664490E0
4.607012210E-1,-2.816554159E-2,1.507698298E0,-4.702563286E-1,1.579584904E0
4.656787730E-1,-1.800962985E-1,1.563079357E0,-7.097392082E-1,1.726088496E0
4.706564290E-1,-3.299772143E-1,1.623816013E0,-9.908885956E-1,1.930679574E0
4.756340330E-1,-4.377768934E-1,1.650352955E0,-1.252059460E0,2.117301673E0
4.806116370E-1,-4.777672291E-1,1.670038700E0,-1.451326370E0,2.263545674E0
4.855892410E-1,-4.764953256E-1,1.685728550E0,-1.483037472E0,2.295240441E0
4.905668460E-1,-4.950601459E-1,1.752396107E0,-1.356392384E0,2.270633603E0
